Дата рождения	Имя	Фамилия	Отчество	Код клиента
12.03.1968	Лада	Люкшина	Титовна	502
13.04.1967	Лариса	Люминарская	 Тихоновна	503
14.05.1970	Леокадия	Люсина	 Трифоновна	504
15.06.1971	Лиана	Лютикова	Трофимовна	505
17.07.1972	Лидия	Лютихина	Уваровна,	506
18.08.1973	Лилиана	Лютова	 Уаровна	507
18.09.1976	Лилия	Лютягина	 Ульяновна	508
20.10.1975	Лия	Люшина	Устиновна	509
21.11.1974	Луиза	Лягина	 Станиславна	510
23.12.1977	Лукерья	Ляднова	Стахиевна	511
23.01.1938	Любава	Лядова	Степановна	512
24.02.1943	Любовь	Лякина	 Стратониковна	513
28.03.1953	Любомила	Лякова	Сысоевна	514
28.04.1955	Любомира	Лялечкина	Тарасовна	515
30.05.1954	Людмила	Лялина	 Терентьевна	516
01.07.1956	Майя	Лялькина	 Тертиевна	517
02.08.1980	Мальвина	Лямина	Тимофеевна	518
02.09.1990	Маргарита	Лямудина	 Тимуровна	519
04.10.2021	Марианна	Лямцева	Титовна	520
05.11.2022	Мариетта	Лямцына	 Тихоновна	521
07.12.2023	Марина	Ляпидевская	 Трифоновна	522
15 августа 1958	Ксения	Денюхина	 Авенировна	523
16 августа 1959	Лада	Денягина	 Авериевна	524
17 августа 1960	Лариса	Денякина	Аверкиевна	525
18 августа 1961	Леокадия	Деплоранская	Аверьяновна	526
19 августа 1962	Лиана	Депутатова	 Авксентиевна	527
20 августа 1963	Лидия	Дербенева	Авраамовна	528
21 августа 1964	Лилиана	Дербина	Авраамиевна	529
22 августа 1965	Лилия	Дербышева	 Аврамовна	530
23 августа 1966	Лия	Дергачова	Аврамьевна	531
24 августа 1967	Луиза	Деревщикова	 Аврелиановна	532
05.10.1968	Август	Абоимов	Викулич	533
16.10.1969	Авдей	Абраменко	Виленович	534
27.10.1970	Аверкий	Абрамкин	Вильгельмович	535
07.11.1971	Аверьян	Абрамов 	Виссарионович	536
17.11.1972	Авксентий	Борищенко	Виталиевич	537
28.11.1973	Автоном	Борков	Витольдович	538
09.12.1974	Агап	Борковский	Владиленович	539
20.12.1975	Агафон	Боровик	Владимирович	540
30.12.1976	Аггей	Боровицкий	Владиславович	541
10.01.1978	Адам	Боровко	Владленович	542
21.01.1979	Андриян	Боровков	Власович	543
01.02.1980	Азарий	Боровлев	Власиевич	544
11.02.1981	Аким	Боровов	Вонифатович	545
22.02.1982	Александр	Боровой	Вонифатиевич	546
05.03.1983	Алексей	Бородин	Всеволодович	547
15.03.1984	Амвросий	Бородинов	Всеславович	548
06.11.1968	Амос	Абоимов	Вуколович	549
07.12.1968	Ананий	Абраменко	Вышеславович	550
07.01.1969	Анатолий	Абрамкин	Карионович	551
07.02.1969	Андрей	Абрамов 	Карлович	552
10.03.1969	Андрон	Борищенко	Олегович	553
10.04.1969	Андроник	Борков	Олимпиевич	554
11.05.1969	Аникей	Борковский	Онисимович	555
11.06.1969	Аникита	Боровик	Онуфриевич	556
12.07.1969	Анисим	Боровицкий	Орестович	557
12.08.1969	Антип	Боровко	Осипович	558
12.09.1969	Антонин	Боровков	Оскарович	559
13.10.1969	Аполлинарий	Боровлев	Остапович	560
13.11.1969	Аполлон	Боровов	Павлович	561
14.12.1969	Арефий	Боровой	Павлинович	562
14.01.1970	Аристарх	Бородин	Паисиевич	563
14.02.1970	Аркадий	Бородинов	Палладиевич	564
17.03.1970	Арсений	Бородихин	Памфилович	565
17.04.1970	Артемий	Бородулин	Памфилиевич	566
18.05.1970	Артем	Бородыня	Панкратович	567
18.06.1970	Архип	Бороздин	Панкратиевич	568
19.07.1970	Аскольд	Боронин	Пантелеевич	569
19.08.1970	Афанасий	Бортенев	Пантелеймонович	570
19.09.1970	Афиноген	Бортников	Панфилович	571
20.10.1970	Бажен	Борыков	Парамонович	572
20.11.1970	Богдан	Борягин	Парменович	573
21.12.1970	Болеслав	Боряков	Пармёнович	574
21.01.1971	Борис	yосолаев	Парфёнович	575
21.02.1971	Борислав	Босулаев	Парфениевич	576
24.03.1971	Боян	Босый	Парфентиевич	577
24.04.1971	Бронислав	Боталов	Патрикеевич	578
25.05.1971	Будимир	Боташев	Патрикиевич	579
25.06.1971	Вадим	Боташов	Пафнутиевич	580
26.07.1971	Валентин	Ботвин	Пахомович	581
26.08.1971	Валерий	Боткин	Корнеевич	582
26.09.1971	Валерьян	Боцян	Корнелиевич	583
27.10.1971	Варлаам	Боцяновский	Корнилович	584
27.11.1971	Варфоломей	Бочагов	Корнилиевич	585
28.12.1971	Василий	Бочарников	Ксенофонтович	586
28.01.1972	Вацлав	Бочаров	Кузьмич	587
28.02.1972	Августа	Гонцова	 Авенировна	588
30.03.1972	Агата	Гончарова	 Авериевна	589
30.04.1972	Агафья	Гончаренко	Аверкиевна	590
31.05.1972	Аглая	Гончарик	Аверьяновна	591
01.07.1972	Агнесса	Гончарова	 Авксентиевна	592
01.08.1972	Агния	Гончарук	Авраамовна	593
01.09.1972	Аграфена	Гораздова	Авраамиевна	594
02.10.1972	Агриппина	Горбаневская	 Аврамовна	595
02.11.1972	Ада	Горбань	Аврамьевна	596
03.12.1972	Аделаида	Горбатко	 Аврелиановна	597
03.01.1973	Аза	Горбаткова	 Автономовна	598
03.02.1973	Алевтина	Горбатова	 Агаповна	599
06.03.1973	Александра	Горбачева	Агапиевна	600
06.04.1973	Алина	Горбатых	Агапитовна	601
07.05.1973	Алиса	Горбач	 Агафоновна	602
07.06.1973	Алла	Горбачева	 Аггеевна	603
08.07.1973	Альбина	Горбачевский	 Адамовна	604
08.08.1973	Анастасия	Горбаченко	Адриановна	605
08.09.1973	Ангелина	Горбенко	 Азаровна	606
09.10.1973	Анисья	Горбенкова	Азариевна	607
09.11.1973	Анна	Горбова	Акакиевна	608
10.12.1973	Антонида	Горбоносов	 Акимовна	609
10.01.1974	Антонина	Горбунина	 Акиндиновна	610
10.02.1974	Анфиса	Горбункова	Акинфовна	611
13.03.1974	Аполлинария	Горбунова	 Акинфиевна	612
13.04.1974	Ариадна	Горбунчикова	 Аксёновна	613
14.05.1974	Беатриса	Горбушина	Аксентиевна	614
14.06.1974	Берта	Горбушова	 Александровна	615
15.07.1974	Борислава	Демьяненко	 Алексеевна	616
15.08.1974	Бронислава	Демьянец	 Алексиевна	617
15.09.1974	Валентина	Демьянова	 Альбертовна	618
16.10.1974	Валерия	Демьяновская	 Альфредовна	619
16.11.1974	Ванда	Демьянок	 Амвросиевна	620
17.12.1974	Варвара	Демьянчук	Амосовна	621
17.01.1975	Василиса	Демяник	 Амфилохиевна	622
17.02.1975	Васса	Демянко	 Ананиевна	623
20.03.1975	Вера	Демянова	 Анастасиевна	624
20.04.1975	Вероника	Демяновская	 Анатолиевна	625
21.05.1975	Викторина	Деникина	 Андреевна	626
21.06.1975	Виктория	Денисевич	 Андриановна	627
22.07.1975	Виргиния	Денисенко	 Андроновна	628
22.08.1975	Влада	Денисова	 Андрониевна	629
22.09.1975	Владилена	Денисович	 Андрониковна	630
23.10.1975	Владлена	Денисычева	 Аникеевна	631
23.11.1975	Владислава	Денисьева	Аникиевна	632
24.12.1975	Власта	Денисюк	 Аникитична	633
24.01.1976	Всеслава	Денюхина	Анисиевна	634
24.02.1976	Галина	Денягина	Анисимовна	635
26.03.1976	Галя	Денякина	Антиоховна	636
26.04.1976	Ганна	Деплоранская	Антиповна	637
27.05.1976	Генриетта	Депутатова	Антипична	638
27.06.1976	Глафира	Дербенева	Антипиевна	639
28.07.1976	Горислава	Дербина	 Антоновна	640
28.08.1976	Дарья	Дербышева	 Антониновна	641
28.09.1976	Диана	Дергачова	 Антроповна	642
29.10.1976	Дина	Деревщикова	Антропиевна	643
29.11.1976	Доминика	Деревягина	 Ануфриевна	644
30.12.1976	Домна	Деревянкина	 Аполлинарьевна	645
30.01.1977	Ева	Деревянникова	Аполлоновна	646
28.07.1976	Евгеиня	Деревяшкина	 Аполлосовна	647
28.08.1976	Евдокия	Державец	 Ардалионовна	648
28.09.1976	Евлампия	Державина	 Ардальоновна	649
29.10.1976	Екатерина	Державцева	Арефовна	650
29.11.1976	Елена	Деркач	Арефьевна	651
30.12.1976	Елизавета	Деркачова	Арьевна	652
30.01.1977	Ефросинья	Дерюгина	Аристарховна	653
28.02.1977	Жанна	Дерябина	 Аристидовна	654
30.03.1977	Зинаида	Дерягина	Аркадьевна	655
30.04.1977	Злата	Десницкая	Арнольдовна	656
30.05.1977	Зоя	Десяткина	Ароновна	657
30.06.1977	Изабелла	Десятова	Арсеновна	658
30.07.1977	Изольда	Деткина	Арсеньевна	659
30.08.1977	Инга	Деткова	Арсентьевна	660
30.09.1977	Инесса	Детнева	Артамоновна	661
30.10.1977	Инна	Деточкина	 Артёмовна	662
30.11.1977	Ираида	Детушкина	Артемьевна	663
30.12.1977	Ирина	Деулина	Артуровна	664
30.01.1978	Ия	Дехтерева	Архиповна	665
28.02.1978	Казимира	Джавадова	Асафовна	666
30.03.1978	Калерия	Джура	Асафьевна	667
30.04.1978	Капитолина	Дзенискевич	Аскольдовна	668
30.05.1978	Каролина	Дзюбина	Афанасьевна	669
30.06.1978	Кира	Дианина	 Афиногеновна	670
30.07.1978	Клавдия	Дианова	Африкановна	671
30.08.1978	Клара	Диденко	Артамоновна	672
30.09.1978	Кларисса	Дидоренко	 Артёмовна	673
30.10.1978	Клементина	Деткина	Артемьевна	674
30.11.1978	Клеопатра	Деткова	Артуровна	675
30.12.1978	Конкордия	Детнева	 Архиповна	676
30.01.1979	Ксения	Деточкина	Асафовна	677
28.02.1979	Лада	Детушкина	Асафьевна	678
30.03.1979	Лариса	Деулина	Аскольдовна	679
30.04.1979	Леокадия	Дехтерева	Афанасьевна	680
30.05.1979	Лиана	Джавадова	 Афиногеновна	681
30.06.1979	Лидия	Джура	Африкановна	682
05.10.1986	Август	Абаимов	Бенедиктович	683
2-янв-1990	Авдей	Абакумов	Богданович	684
12.янв.90	Аверкий	Абакшин	Болеславович	685
15 августа 1957	Аверьян	Абалакин	Бонифатович	686
15 мая 1954	Авксентий	Абалаков	Бонифатиевич	687
08.май.54	Автоном	Абалдуев	Борисович	688
15.сен.56	Агап	Абалкин	Бориславович	689
25 мак 59	Агафон	Абатурин	Брониславович	690
15.12.1845	Аггей	Абатуров	Вавилич	691
1947	Адам	Абашев	Вадимович	692
1951 год	Андриян	Абашин	Валентинович	693
1986 Feb 10 Питер	Азарий	Абашкин	Валерианович	694
10.05.1986	Аким	Абаянцев	Валерьянович	695
05.05.1986	Александр	Абдула	Валериевич	696
19861005 Москва	Алексей	Абдулин	Варламович	697
25.05.1986	Амвросий	Абдулов	Варламиевич	698
04.05.1986	Амос	Абоимов	Варнавич	699
5-10-1986 город Коломна	Ананий	Абраменко	Варсонофович	700
05.05.1952	Анатолий	Абрамкин	Варсонофиевич	701
05.01.1986	Андрей	Абрамов 	Варфоломеевич	702
05.10.1906	Андрон	Борищенко	Васильевич	703
05.10.1986	Андроник	Борков	Вассианович	704
05.10.1986	Аникей	Борковский	Велизарович	705
дата 05101986	Аникита	Боровик	Велимирович	706
дата 15 January 1959	Анисим	Боровицкий	Венедиктович	707
дата 1986/05 Москва	Антип	Боровко	Вениаминович	708
дата рождения 5.10.1986	Антонин	Боровков	Веньяминович	709
рождения 05/10/1986Москва	Аполлинарий	Боровлев	Венцеславович	710
05.10.1987	Аполлон	Боровов	Викентиевич	711
12.янв.91	Арефий	Боровой	Викторович	712
16 августа 1957	Аристарх	Бородин	Викториевич	713
16 мая 1954	Аркадий	Бородинов	Викулович	714
16.сен.56	Арсений	Бородихин	Викулич	715
15.12.1846	Артемий	Бородулин	Виленович	716
1948	Артем	Бородыня	Вильгельмович	717
1952 год	Архип	Бороздин	Виссарионович	718
1987 Feb 10 Питер	Аскольд	Боронин	Виталиевич	719
09.05.1986	Афанасий	Бортенев	Витольдович	720
13.05.1986	Афиноген	Бортников	Владиленович	721
19861005 Москва	Бажен	Борыков	Владимирович	722
25.05.1987	Богдан	Борягин	Владиславович	723
04.05.1987	Болеслав	Боряков	Владленович	724
5-10-1986 город Коломна	Борис	yосолаев	Власович	725
05.05.1953	Борислав	Босулаев	Власиевич	726
05.01.1987	Боян	Босый	Вонифатович	727
05.10.1966	Бронислав	Боталов	Вонифатиевич	728
05.10.1946	Будимир	Боташев	Всеволодович	729
05.10.1987	Вадим	Боташов	Всеславович	730
дата 05101987	Валентин	Ботвин	Вуколович	731
дата 15 January 1960	Валерий	Боткин	Вышеславович	732
дата 1986/05 Москва	Валерьян	Боцян	Вячеславович	733
дата рождения 5.10.1987	Варлаам	Боцяновский	Бенедиктович	734
рождения 05/10/1986Москва	Варфоломей	Бочагов	Богданович	735
05.10.1988	Василий	Бочарников	Болеславович	736
12.янв.92	Вацлав	Бочаров	Бонифатович	737
17 августа 1957	Велимир	Бочкарев	Бонифатиевич	738
17 мая 1954	Венедикт	Бояринов	Борисович	739
17.сен.56	Вениамин	Бояринцев	Бориславович	740
15.12.1847	Викентий	Боярский	Брониславович	741
1949	Виктор	Боярышников	Вавилич	742
1953 год	Викторин	Брагин	Вадимович	743
1988 Feb 10 Питер	Виссарион	Бражин	Валентинович	744
17.05.1986	Виталий	Бражкин	Валерианович	745
21.05.1986	Владилен	Бражник	Валерьянович	746
19861005 Москва	Владлен	Бражников	Валериевич	747
25.05.1988	Владимир	Бражницын	Варламович	748
04.05.1988	Владислав	Брайнин	Варламиевич	749
5-10-1986 город Коломна	Влас	Брайнович	Варнавич	750
05.05.1954	Всеволод	Браславский	Варсонофович	751
05.01.1988	Всемил	Браслетов	Варсонофиевич	752
05.10.2226	Всеслав	Братанов	Варфоломеевич	753
05.10.2306	Вышеслав	Братишкин	Васильевич	754
05.10.1988	Вячеслав	Братищев	Вассианович	755
дата 05101988	Гавриил	Братков	Велизарович	756
дата 15 January 1961	Галактион	Братухин	Велимирович	757
дата 1986/05 Москва	Гедеон	Братцев	Венедиктович	758
дата рождения 5.10.1988	Геннадий	Братчиков	Вениаминович	759
рождения 05/10/1982Москва	Георгий	Бредихин	Веньяминович	760
05.10.1989	Герасим	Брежнев	Венцеславович	761
12.янв.93	Герман	Брежной	Викентиевич	762
18 августа 1957	Глеб	Брежный	Викторович	763
18 мая 1954	Гордей	Выскубов	Викториевич	764
18.сен.56	Гостомысл	Высокий	Викулович	765
15.12.1848	Гремислав	Высоких	Викулич	766
1950	Григорий	Высоков	Виленович	767
1954 год	Гурий	Высокович	Вильгельмович	768
1989 Feb 10 Питер	Давыд	Высокоостровский	Виссарионович	769
25.05.1986	Данила	Высоцкий	Виталиевич	770
29.05.1986	Дементий	Вытчиков	Витольдович	771
19861005 Москва	Демид	Выходцев	Владиленович	772
25.05.1989	Демьян	Вычегжанин	Владимирович	773
04.05.1989	Денис	Вычегжанинов	Владиславович	774
5-10-1986 город Коломна	Дмитрий	Вышегородцев	Владленович	775
05.05.1955	Добромысл	Вышеградский	Власович	776
05.01.1989	Доброслав	Вышеславцев	Власиевич	777
05.10.1986	Дорофей	Вышняков	Вонифатович	778
05.10.1966	Евгений	Вьюниченко	Вонифатиевич	779
05.10.1989	Евграф	Вьюрков	Всеволодович	780
дата 05101989	Евдоким	Вьющенко	Всеславович	781
дата 15 January 1962	Евлампий	Вязгин	Вуколович	782
дата 1986/05 Москва	Евсей	Вязгунов	Вышеславович	783
дата рождения 5.10.1989	Евстафий	Вяземский	Вячеславович	784
рождения 05/10/1986Москва	Евстигней	Вяземцев	Бенедиктович	785
05.10.1990	Егор	Вязников	Богданович	786
12.янв.94	Елизар	Вязов	Болеславович	787
19 августа 1957	Елисей	Вязовкин	Бонифатович	788
19 мая 1954	Емельян	Вязовой	Бонифатиевич	789
19.сен.56	Епифан	Вязьмитин	Борисович	790
15.12.1849	Еремей	Вязьмитинов	Бориславович	791
1951	Ермил	Вялов	Брониславович	792
1955 год	Ермолай	Вяльцев	Вавилич	793
1990 Feb 10 Питер	Ерофей	Вяткин	Вадимович	794
31.05.1986	Ефим	Вятков	Валентинович	795
27.05.1986	Ефрем	Вятчинин	Валерианович	796
19861005 Москва	Захар	Вяхирев	Валерьянович	797
25.05.1990	Зиновий	Вяхорев	Валериевич	798
04.05.1990	Зосима	Вячеславлев	Варламович	799
5-10-1986 город Коломна	Иван	Вячеславов	Варламиевич	800
05.05.1956	Игнатий	Вячеслов	Варнавич	801
05.01.1990	Игорь	Голубович	Варсонофович	802
05.10.1946	Измаил	Голубовский	Варсонофиевич	803
05.10.1986	Изот	Голубоцкий	Варфоломеевич	804
05.10.1990	Изяслав	Голубушкин	Васильевич	805
дата 05101990	Иларион	Голубцов	Вассианович	806
дата 15 January 1963	Илья	Голубчик	Велизарович	807
дата 1986/05 Москва	Иннокентий	Голубятников	Велимирович	808
дата рождения 5.10.1990	Осип	Голузин	Венедиктович	809
рождения 05/10/1986Москва	Ипат	Голутвин	Вениаминович	810
05.10.1991	Ипатий	Голчин	Веньяминович	811
12.янв.95	Ипполит	Голыгин	Венцеславович	812
20 августа 1957	Ираклий	Голышев	Викентиевич	813
20 мая 1954	Исай	Голышевский	Викторович	814
20.сен.56	Исидор	Голышкин	Викториевич	815
15.12.1850	Казимир	Гольдин	Викулович	816
1952	Каллистрат	Гольцев	Викулич	817
1956 год	Капитон	Гольцов	Виленович	818
1991 Feb 10 Питер	Карл	Голягин	Вильгельмович	819
01.05.1986	Карп	Голядкин	Виссарионович	820
14.05.1986	Касьян	Голямов	Виталиевич	821
19861005 Москва	Ким	Гомбоев	Витольдович	822
25.05.1991	Кир	Гомбурцев	Владиленович	823
04.05.1991	Кирилл	Гомеров	Владимирович	824
5-10-1986 город Коломна	Клавдий	Гомзиков	Владиславович	825
05.05.1957	Клементий	Гомзин	Владленович	826
05.01.1991	Кондрат	Гомзяков	Власович	827
05.10.1981	Кондратий	Гомозин	Власиевич	828
05.10.1996	Конон	Гомозов	Вонифатович	829
05.10.1991	Константин	Гомоюнов	Вонифатиевич	830
дата 05101991	Корней	Гондобин	Всеволодович	831
дата 15 January 1964	Кузьма	Гондырев	Всеславович	832
дата 1986/05 Москва	Куприян	Гонимедов	Вуколович	833
дата рождения 5.10.1991	Лавр	Гонобобелев	Вышеславович	834
рождения 05/10/1986Москва	Лаврентий	Гонобоблев	Вячеславович	835
05.10.1992	Ладимир	Гонохов	Абакумович	836
12.янв.96	Ладислав	Гоношилин	Абрамович	837
21 августа 1957	Лазарь	Гоношин	Абросимович	838
21 мая 1954	Лев	Гоношихин	Аввакумович	839
21.сен.56	Леон	Гонтарев	Августович	840
15.12.1851	Леонид	Гонтаров	Авдеевич	841
1953	Леонтий	Гонтарук	Авдиевич	842
1957 год	Лонгин	Гонтарь	Авелевич	843
1992 Feb 10 Питер	Августа	Гонцова	 Авенировна	844
19.05.1986	Агата	Гончарова	 Авериевна	845
20.05.1986	Агафья	Гончаренко	Аверкиевна	846
19861005 Москва	Аглая	Гончарик	Аверьяновна	847
25.05.1992	Агнесса	Гончарова	 Авксентиевна	848
04.05.1992	Агния	Гончарук	Авраамовна	849
5-10-1986 город Коломна	Аграфена	Гораздова	Авраамиевна	850
05.05.1958	Агриппина	Горбаневская	 Аврамовна	851
05.01.1992	Ада	Горбань	Аврамьевна	852
05.10.1990	Аделаида	Горбатко	 Аврелиановна	853
05.10.1994	Аза	Горбаткова	 Автономовна	854
05.10.1992	Алевтина	Горбатова	 Агаповна	855
дата 05101992	Александра	Горбачева	Агапиевна	856
дата 15 January 1965	Алина	Горбатых	Агапитовна	857
дата 1986/05 Москва	Алиса	Горбач	 Агафоновна	858
дата рождения 5.10.1992	Алла	Горбачева	 Аггеевна	859
рождения 05/10/1986Москва	Альбина	Горбачевский	 Адамовна	860
05.10.1993	Анастасия	Горбаченко	Адриановна	861
12.янв.97	Ангелина	Горбенко	 Азаровна	862
22 августа 1957	Анисья	Горбенкова	Азариевна	863
22 мая 1954	Анна	Горбова	Акакиевна	864
22.сен.56	Антонида	Горбоносов	 Акимовна	865
15.12.1852	Антонина	Горбунина	 Акиндиновна	866
1954	Анфиса	Горбункова	Акинфовна	867
1958 год	Аполлинария	Горбунова	 Акинфиевна	868
1993 Feb 10 Питер	Ариадна	Горбунчикова	 Аксёновна	869
27.05.1986	Беатриса	Горбушина	Аксентиевна	870
10.05.1986	Берта	Горбушова	 Александровна	871
19861005 Москва	Борислава	Демьяненко	 Алексеевна	872
25.05.1993	Бронислава	Демьянец	 Алексиевна	873
04.05.1993	Валентина	Демьянова	 Альбертовна	874
5-10-1986 город Коломна	Валерия	Демьяновская	 Альфредовна	875
05.05.1959	Ванда	Демьянок	 Амвросиевна	876
05.01.1993	Варвара	Демьянчук	Амосовна	877
05.10.1947	Василиса	Демяник	 Амфилохиевна	878
05.10.1943	Васса	Демянко	 Ананиевна	879
05.10.1993	Вера	Демянова	 Анастасиевна	880
дата 05101993	Вероника	Демяновская	 Анатолиевна	881
дата 15 January 1966	Викторина	Деникина	 Андреевна	882
дата 1986/05 Москва	Виктория	Денисевич	 Андриановна	883
дата рождения 5.10.1993	Виргиния	Денисенко	 Андроновна	884
рождения 05/10/1986Москва	Влада	Денисова	 Андрониевна	885
05.10.1994	Владилена	Денисович	 Андрониковна	886
12.янв.98	Владлена	Денисычева	 Аникеевна	887
23 августа 1957	Владислава	Денисьева	Аникиевна	888
23 мая 1954	Власта	Денисюк	 Аникитична	889
23.сен.56	Всеслава	Денюхина	Анисиевна	890
15.12.1853	Галина	Денягина	Анисимовна	891
1955	Галя	Денякина	Антиоховна	892
1959 год	Ганна	Деплоранская	Антиповна	893
1994 Feb 10 Питер	Генриетта	Депутатова	Антипична	894
16.05.1986	Глафира	Дербенева	Антипиевна	895
19.05.1986	Горислава	Дербина	 Антоновна	896
19861005 Москва	Дарья	Дербышева	 Антониновна	897
25.05.1994	Диана	Дергачова	 Антроповна	898
04.05.1994	Дина	Деревщикова	Антропиевна	899
5-10-1986 город Коломна	Доминика	Деревягина	 Ануфриевна	900
05.05.1960	Домна	Деревянкина	Аполлинариевиx	901
05.01.1994	Ева	Деревянникова	Аполлоновна	902
05.10.1983	Евгеиня	Деревяшкина	 Аполлосовна	903
05.10.1987	Евдокия	Державец	 Ардалионовна	904
05.10.1994	Евлампия	Державина	 Ардальоновна	905
дата 05101994	Екатерина	Державцева	Арефовна	906
дата 15 January 1967	Елена	Деркач	Арефьевна	907
дата 1986/05 Москва	Елизавета	Деркачова	Арьевна	908
дата рождения 5.10.1994	Ефросинья	Дерюгина	Аристарховна	909
рождения 05/10/1986Москва	Жанна	Дерябина	 Аристидовна	910
05.10.1995	Зинаида	Дерягина	Аркадьевна	911
12.янв.99	Злата	Десницкая	Арнольдовна	912
24 августа 1957	Зоя	Десяткина	Ароновна	913
24 мая 1954	Изабелла	Десятова	Арсеновна	914
24.сен.56	Изольда	Деткина	Арсеньевна	915
15.12.1854	Инга	Деткова	Арсентьевна	916
1956	Инесса	Детнева	Артамоновна	917
1960 год	Инна	Деточкина	 Артёмовна	918
1995 Feb 10 Питер	Ираида	Детушкина	Артемьевна	919
11.05.1986	Ирина	Деулина	Артуровна	920
17.05.1986	Ия	Дехтерева	Архипович, Архиповна	921
19861005 Москва	Казимира	Джавадова	Асафовна	922
25.05.1995	Калерия	Джура	Асафьевна	923
04.05.1995	Капитолина	Дзенискевич	Аскольдовна	924
5-10-1986 город Коломна	Каролина	Дзюбина	Афанасьевна	925
05.05.1961	Кира	Дианина	 Афиногеновна	926
05.01.1995	Клавдия	Дианова	Африкановна	927
05.10.1951	Клара	Диденко	Артамоновна	928
05.10.1960	Кларисса	Дидоренко	 Артёмовна	929
05.10.1995	Клементина	Деткина	Артемьевна	930
дата 05101995	Клеопатра	Деткова	Артуровна	931
дата 15 January 1968	Конкордия	Детнева	Архипович, Архиповна	932
дата 1986/05 Москва	Ксения	Деточкина	Асафовна	933
дата рождения 5.10.1995	Лада	Детушкина	Асафьевна	934
рождения 05/10/1986Москва	Лариса	Деулина	Аскольдовна	935
05.10.1996	Леокадия	Дехтерева	Афанасьевна	936
12.янв.00	Лиана	Джавадова	 Афиногеновна	937
25 августа 1957	Лидия	Джура	Африкановна	938
25 мая 1954	Лилиана	Дзенискевич	Артамоновна	939
25.сен.56	Измаил	Жабенков	Захарович	940
15.12.1855	Изот	Жабин	Захариевич	941
1957	Изяслав	Жабинский	Зенонович	942
1961 год	Иларион	Жабко	Зиновиевич	943
1996 Feb 10 Питер	Илья	Жабоедов	Зосимович	944
18.05.1986	Иннокентий	Жабрак	Зосимч	945
15.05.1986	Осип	Жабрук	Иакимович	946
19861005 Москва	Ипат	Жаворонков	Иакинфович	947
25.05.1996	Ипатий	Жаврук	Иванович	948
04.05.1996	Ипполит	Жаданов	Игнатович	949
5-10-1986 город Коломна	Ираклий	Жаднов	Игнатиевич	950
05.05.1962	Исай	Жадный	Игоревич	951
05.01.1996	Исидор	Жадобин	Иеронимович	952
05.10.1988	Казимир	Жадов	Измаилович	953
05.10.1947	Каллистрат	Жадовский	Изосимович	954
05.10.1996	Капитон	Жаков	Изотович	955
дата 05101996	Карл	Жалобин	Изяславович	956
дата 15 January 1969	Карп	Жальба	Илиодорович	957
дата 1986/05 Москва	Касьян	Жаравин	Илларионович	958
дата рождения 5.10.1996	Ким	Жаравихин	Иларионович	959
рождения 05/10/1986Москва	Кир	Жаравлев	Ильич	960
05.10.1981	Кирилл	Жаренов	Иннокентиевич	961
12.янв.01	Клавдий	Жареный	Иоаннович	962
26 августа 1957	Клементий	Жариков	Иович	963
26 мая 1954	Кондрат	Жарин	Ионич	964
26.сен.56	Кондратий	Жарких	Иосафатович	965
15.12.1956	Конон	Жарков	Иосифович	966
1958	Константин	Жаров	Ипатович	967
1962 год	Корней	Жаровский	Ипатиевич	968
1981 Feb 10 Питер	Кузьма	Жарун	Ипполитович	969
05.05.1986	Куприян	Жбанков	Ираклиевич	970
1986.0509	Лавр	Жбанников	Иринархович	971
19861005 Москва	Лаврентий	Жбанов	Иринеевич	972
25.05.1981	Ладимир	Жваликовский	Исаакович	973
04.05.1981	Ладислав	Жвалов	Исаакиевич	974
5-10-1986 город Коломна	Лазарь	Жданеня	Исаевич	975
05.05.1963	Лев	Жданкин	Исакович	976
05.01.1981	Леон	Жданович	Исакиевич	977
05.10.1966	Леонид	Ждахин	Исидорович	978
05.10.1946	Сидор	Жебов	Иустинович	979
05.10.1981	Сила	Жебра	Казимирович	980
дата 05101981	Силантий	Жебраков	Каллиникович	981
дата 15 January 1970	Сильвестр	Жебрун	Каллистович	982
дата 1986/05 Москва	Симон	Жебрунов	Каллистратович	983
дата рождения 5.10.1981	Сократ	Жевакин	Капитонович	984
рождения 05/10/1986Москва	Соломон	Жевнеров	Карионович	985
05.10.1998	Софон	Жевнин	Карлович	986
12.янв.02	Софрон	Жегалин	Карпович	987
27 августа 1957	Спартак	Жегалов	Касьянович	988
27 мая 1954	Спиридон	Жеглов	Кимович	989
27.сен.56	Станимир	Жегулев	Киприанови	990
15.12.1857	Станислав	Жегулин	Кирович	991
1959	Степан	Желваков	Кириакович	992
1963 год	Стоян	Желватых	Кирьякович	993
1998 Feb 10 Питер	Тарас	Желдаков	Кирикович	994
09.05.1986	Твердислав	Железников	Кириллович	995
10.05.1986	Творимир	Железнов	Кирсанович	996
19861005 Москва	Терентий	Железный	Клавдиевич	997
25.05.1998	Тимофей	Железняк	Климович	998
04.05.1998	Тимур	Железняка	Климентович	999
5-10-1986 город Коломна	Тит	Железняков	Климентиевич	1000
05.05.1964	Тихон	Желнин	Кондратович	1001
05.01.1998	Трифон	Желнинский	Кондратиевич	1002
05.10.1926	Трофим	Желтиков	Кононович	1003
05.10.1999	Ульян	Желтобрюхов	Конрадович	1004
05.10.1998	Устин	Желтов	Константинович	1005
дата 05101998	Фадей	Желтоногов	Корнеевич	1006
